,Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
122,"Baytown, TX",July 2014,All Residential,Place/City,False,TX,0.973147182,-1.2%,-1.1%,84,-13.4%,13.5%,310,14.0%,-9.4%,21,-14,-34.0,$143K,1.8%,9.0%,136,9.7%,32.0%
123,"Texas City, TX",January 2015,All Residential,Place/City,False,TX,0.954562457,0.5%,2.2%,33,-17.5%,50.0%,124,-10.1%,-29.9%,59,8,-41.0,$82K,-18.9%,-0.2%,44,29.4%,-2.2%
124,"Missouri City, TX",April 2015,All Residential,Place/City,False,TX,0.9814981190000001,0.6%,0.4%,143,5.1%,-9.5%,309,7.3%,-7.2%,26,7,-5.0,$257K,14.0%,16.2%,208,19.5%,15.6%
125,"Pasadena, TX",May 2015,All Residential,Place/City,False,TX,0.9737786009999999,-0.9%,0.0%,95,-5.9%,4.4%,167,1.8%,-23.4%,20,4,-36.0,$138K,6.2%,11.3%,100,-17.4%,-13.8%
126,"Conroe, TX",June 2015,All Residential,Place/City,False,TX,0.976075762,0.0%,0.1%,223,12.6%,18.0%,686,9.1%,48.2%,28,-5,9.0,$215K,2.7%,16.2%,273,3.4%,12.8%
127,"Friendswood, TX",July 2015,All Residential,Place/City,False,TX,0.9911232170000001,0.4%,1.5%,86,2.4%,-3.4%,155,18.3%,-7.2%,14,7,4.0,$227K,0.4%,-3.9%,103,4.0%,15.7%
128,"Pasadena, TX",April 2016,All Residential,Place/City,False,TX,0.985618001,1.1%,0.2%,87,-5.4%,-13.9%,164,8.6%,0.0%,15,-20,-1.0,$136K,-2.2%,4.3%,128,29.3%,5.8%
129,"Sugar Land, TX",September 2012,All Residential,Place/City,False,TX,0.96664368,0.3%,1.9%,143,-33.2%,-3.4%,582,-6.3%,-19.3%,46,4,-19.0,$215K,-2.7%,-10.4%,255,19.7%,59.4%
130,"League City, TX",October 2012,All Residential,Place/City,False,TX,0.97554499,0.1%,,144,5.9%,,532,-2.2%,,62,-7,,$187K,0.8%,,172,24.6%,
131,"Sugar Land, TX",July 2013,All Residential,Place/City,False,TX,0.9805661640000001,0.2%,1.5%,279,1.5%,32.2%,401,1.0%,-38.1%,14,0,-21.0,$281K,2.9%,12.4%,303,1.0%,14.8%
132,"Conroe, TX",September 2013,All Residential,Place/City,False,TX,0.974406067,-0.1%,2.3%,164,1.2%,30.2%,498,-1.4%,-13.8%,44,11,-19.0,$186K,12.3%,20.3%,153,-26.8%,6.3%
133,"League City, TX",September 2013,All Residential,Place/City,False,TX,0.9777416459999999,-0.5%,0.3%,156,-19.6%,14.7%,497,1.0%,-8.6%,42,12,-27.0,$192K,0.3%,3.8%,184,-8.5%,33.3%
134,"Pasadena, TX",November 2013,All Residential,Place/City,False,TX,0.973985601,0.3%,-0.7%,58,-31.0%,9.4%,302,0.7%,-9.6%,56,16,-11.0,$108K,-4.5%,0.2%,76,-20.0%,13.4%
135,"League City, TX",April 2014,All Residential,Place/City,False,TX,0.9792321959999999,-0.1%,-0.2%,185,10.1%,12.8%,394,1.5%,-16.3%,26,-2,-8.0,$203K,2.4%,9.4%,242,33.0%,16.3%
136,"Houston, TX",May 2014,All Residential,Place/City,False,TX,0.986649593,0.4%,0.7%,2945,12.2%,-3.5%,5969,4.6%,-13.6%,19,-4,-6.0,$190K,2.7%,10.0%,3882,5.5%,2.9%
137,"League City, TX",October 2014,All Residential,Place/City,False,TX,0.976773656,0.3%,0.2%,163,-11.4%,-3.6%,431,-0.2%,-12.6%,36,8,-7.0,$203K,-4.6%,6.1%,174,3.6%,-3.9%
138,"Baytown, TX",December 2014,All Residential,Place/City,False,TX,0.962997542,-0.6%,-1.9%,85,-4.5%,19.7%,245,-10.9%,-15.2%,35,-27,-61.0,$153K,0.5%,17.6%,52,-43.5%,-13.3%
139,"Sugar Land, TX",January 2015,All Residential,Place/City,False,TX,0.9822442,0.6%,0.7%,111,-50.9%,0.9%,352,13.2%,17.3%,18,-12,-11.0,$298K,-23.5%,0.3%,186,18.5%,7.5%
140,"Sugar Land, TX",July 2015,All Residential,Place/City,False,TX,0.9776188659999999,0.1%,-0.7%,239,-2.0%,11.7%,610,11.1%,45.6%,18,3,5.0,$315K,-4.3%,-1.4%,336,3.4%,22.6%
141,"Pasadena, TX",October 2015,All Residential,Place/City,False,TX,0.985272603,-0.2%,0.6%,79,-12.2%,-16.8%,194,-4.4%,-3.5%,25,8,-7.0,$138K,-6.5%,19.9%,88,-17.0%,-8.3%
142,"Pasadena, TX",December 2015,All Residential,Place/City,False,TX,0.9794671840000001,-0.1%,0.5%,83,38.3%,-11.7%,168,-13.0%,-1.8%,23,1,-12.0,$149K,24.4%,15.3%,61,-21.8%,1.7%
143,"Baytown, TX",January 2016,All Residential,Place/City,False,TX,0.9655549940000001,-0.2%,-0.7%,78,0.0%,8.3%,261,3.6%,7.0%,73,39,26.0,$143K,-6.6%,10.2%,103,37.3%,2.0%
144,"Conroe, TX",March 2016,All Residential,Place/City,False,TX,0.9712023,0.2%,-0.2%,172,30.3%,11.0%,746,4.5%,26.4%,49,-20,9.0,$218K,4.1%,0.0%,242,2.1%,0.0%
145,"League City, TX",May 2016,All Residential,Place/City,False,TX,0.986567075,0.0%,0.1%,226,32.2%,24.9%,356,-4.3%,-11.0%,15,-2,-8.0,$241K,0.4%,2.6%,213,-8.2%,-14.8%
146,"Conroe, TX",August 2017,All Residential,Place/City,False,TX,0.974739026,0.1%,0.1%,192,-15.4%,-15.0%,817,-1.8%,9.5%,48,7,10.0,$211K,-7.5%,-9.5%,213,-20.5%,-5.8%
147,"Baytown, TX",October 2017,All Residential,Place/City,False,TX,0.9751180779999999,-0.5%,-0.1%,124,39.3%,33.3%,252,-9.7%,-2.3%,35,19,10.0,$169K,-1.9%,-3.2%,131,31.0%,29.7%
148,"Conroe, TX",October 2017,All Residential,Place/City,False,TX,0.9720358370000001,0.3%,0.2%,201,5.2%,32.2%,737,-4.3%,-1.9%,56,9,13.0,$222K,-3.1%,8.6%,233,-0.9%,25.3%
149,"Sugar Land, TX",March 2018,All Residential,Place/City,False,TX,0.9660465540000001,-0.5%,-0.3%,170,45.3%,5.6%,656,8.6%,11.8%,71,-5,49.0,$323K,2.5%,0.7%,307,66.8%,3.4%
150,"League City, TX",April 2018,All Residential,Place/City,False,TX,0.9807985570000001,-0.5%,-0.4%,176,2.9%,15.0%,375,16.5%,-6.5%,20,-11,0.0,$259K,-5.7%,-1.3%,273,32.5%,15.7%
151,"Missouri City, TX",June 2018,All Residential,Place/City,False,TX,0.9795048909999999,0.6%,0.6%,152,-15.6%,-16.9%,590,10.1%,-1.5%,28,-9,1.0,$251K,-6.0%,-1.7%,235,-2.1%,-6.7%
152,"Friendswood, TX",April 2019,All Residential,Place/City,False,TX,0.984704932,1.7%,0.7%,71,-5.3%,-32.4%,212,-2.3%,21.1%,30,-15,10.0,$268K,-7.8%,-6.1%,112,5.7%,1.8%
153,"Baytown, TX",September 2019,All Residential,Place/City,False,TX,0.969467147,-0.7%,-0.8%,100,-17.4%,5.3%,324,-1.8%,1.3%,32,1,-1.0,$194K,-2.7%,6.0%,116,-23.2%,-1.7%
154,"Sugar Land, TX",March 2020,All Residential,Place/City,False,TX,0.9635232109999999,-0.4%,0.3%,157,24.6%,2.6%,631,7.3%,-11.6%,90,-8,21.0,$315K,6.3%,-1.6%,246,30.9%,-18.5%
155,"Conroe, TX",April 2020,All Residential,Place/City,False,TX,0.977365893,-0.3%,0.2%,205,-11.3%,-2.4%,747,0.5%,-4.5%,51,-4,-4.0,$250K,4.2%,0.0%,246,-14.6%,-23.6%
156,"Conroe, TX",May 2020,All Residential,Place/City,False,TX,0.9821423459999999,0.5%,0.6%,190,-7.3%,-24.9%,718,-3.9%,-11.1%,43,-8,3.0,$260K,4.0%,4.0%,303,23.2%,-9.8%
157,"Galveston, TX",May 2020,All Residential,Place/City,False,TX,0.9462261670000001,-1.5%,-1.4%,120,66.7%,-21.6%,529,-12.0%,-13.6%,51,26,5.0,$218K,-5.1%,-1.1%,186,61.7%,1.6%
158,"Houston, TX",June 2020,All Residential,Place/City,False,TX,0.973421908,0.1%,-0.3%,2905,38.9%,-3.3%,9201,-5.5%,-17.3%,43,3,15.0,$249K,9.0%,2.3%,3868,6.0%,-5.9%
159,"Galveston, TX",March 2012,All Residential,Place/City,False,TX,0.9077738040000001,0.1%,6.3%,58,5.5%,5700.0%,629,7.3%,19.8%,80,-10,-515.0,$135K,-19.6%,23.9%,170,10.4%,71.7%
160,"Galveston, TX",June 2012,All Residential,Place/City,False,TX,0.933597731,-0.3%,-3.2%,92,-5.2%,4500.0%,590,-5.3%,10.1%,89,12,46.0,$156K,12.3%,11.4%,110,-15.4%,34.1%
161,"Missouri City, TX",October 2012,All Residential,Place/City,False,TX,0.9596161879999999,-1.4%,-0.1%,100,-1.0%,-9.1%,511,-4.8%,-16.6%,57,4,-21.0,$174K,2.4%,0.0%,146,15.9%,20.7%
162,"Baytown, TX",February 2013,All Residential,Place/City,False,TX,0.944300783,-2.4%,-1.8%,68,21.4%,15.3%,349,-2.0%,-11.0%,87,-2,-2.0,$89K,-25.7%,-10.2%,81,0.0%,-12.0%
163,"Conroe, TX",May 2013,All Residential,Place/City,False,TX,0.976987115,0.8%,0.4%,194,17.6%,23.6%,461,1.1%,-22.0%,37,-7,-25.0,$166K,-5.4%,-3.8%,210,-15.3%,14.8%
164,"Missouri City, TX",May 2013,All Residential,Place/City,False,TX,0.971581032,0.3%,0.0%,175,23.2%,52.2%,450,4.9%,-17.0%,41,-15,-10.0,$201K,-7.4%,9.8%,245,29.6%,46.7%
165,"Pasadena, TX",July 2013,All Residential,Place/City,False,TX,0.984161912,0.8%,3.1%,91,-2.2%,23.0%,285,-1.7%,-26.4%,40,-1,-21.0,$121K,8.6%,26.8%,109,11.2%,3.8%
166,"Galveston, TX",February 2014,All Residential,Place/City,False,TX,0.9481096290000001,0.9%,0.3%,84,78.7%,37.7%,607,8.0%,1.2%,132,19,34.0,$169K,-10.8%,4.0%,141,7.6%,0.7%
167,"Conroe, TX",September 2014,All Residential,Place/City,False,TX,0.97485748,0.2%,0.0%,164,-8.9%,0.0%,530,0.0%,6.4%,22,-10,-22.0,$196K,-11.8%,5.5%,207,-8.0%,35.3%
168,"Conroe, TX",February 2015,All Residential,Place/City,False,TX,0.9735214259999999,-0.4%,0.2%,133,30.4%,19.8%,580,8.6%,40.8%,58,2,-6.0,$228K,16.6%,19.3%,214,7.0%,25.9%
169,"Baytown, TX",May 2015,All Residential,Place/City,False,TX,0.979642476,1.5%,-0.7%,79,-24.0%,-25.5%,219,3.8%,-12.7%,31,-15,-11.0,$150K,-1.0%,10.7%,122,7.0%,8.9%
170,"Baytown, TX",March 2016,All Residential,Place/City,False,TX,0.982145845,1.7%,0.5%,118,55.3%,19.2%,260,4.4%,23.8%,44,-4,-6.0,$162K,6.8%,2.4%,130,9.2%,18.2%
171,"Sugar Land, TX",October 2016,All Residential,Place/City,False,TX,0.9668933540000001,-0.2%,0.1%,146,-9.9%,-12.6%,630,-6.4%,13.1%,43,6,1.0,$310K,8.3%,-4.8%,171,-3.4%,-17.0%
172,"Sugar Land, TX",July 2012,All Residential,Place/City,False,TX,0.96565026,0.1%,1.0%,211,-7.5%,25.6%,648,2.2%,-22.5%,35,-10,-21.0,$250K,5.1%,5.8%,264,-7.4%,21.7%
173,"Baytown, TX",January 2013,All Residential,Place/City,False,TX,0.968577879,1.0%,-0.8%,56,-8.2%,21.7%,356,-6.3%,-8.5%,89,-13,5.0,$119K,-0.8%,10.9%,81,35.0%,-4.7%
174,"Galveston, TX",January 2013,All Residential,Place/City,False,TX,0.930368353,-0.8%,0.5%,54,-22.9%,54.3%,558,6.1%,0.7%,117,20,10.0,$130K,-18.4%,21.3%,144,77.8%,12.5%
175,"Texas City, TX",April 2014,All Residential,Place/City,False,TX,0.959977292,1.3%,3.2%,41,10.8%,32.3%,151,-6.8%,-23.7%,76,-55,-7.0,$93K,6.3%,21.7%,46,-11.5%,-20.7%
176,"Pasadena, TX",June 2014,All Residential,Place/City,False,TX,0.973144149,-0.1%,-0.3%,100,9.9%,7.5%,231,6.0%,-20.3%,28,-28,-13.0,$127K,2.6%,14.6%,116,0.0%,18.4%
177,"Friendswood, TX",June 2015,All Residential,Place/City,False,TX,0.987555339,0.7%,0.7%,84,29.2%,-5.6%,131,4.8%,-23.8%,7,-5,-7.0,$226K,14.5%,-5.5%,99,7.6%,-12.4%
178,"Galveston, TX",June 2015,All Residential,Place/City,False,TX,0.964963812,1.4%,2.2%,127,-5.2%,0.0%,558,-5.9%,-11.0%,65,4,-4.0,$159K,-9.7%,-6.7%,137,-14.9%,-8.7%
179,"Baytown, TX",February 2016,All Residential,Place/City,False,TX,0.964988732,-0.1%,-1.4%,76,-2.6%,10.1%,249,-4.6%,8.7%,48,-25,-29.0,$151K,5.8%,-2.3%,119,15.5%,30.8%
180,"Houston, TX",March 2016,All Residential,Place/City,False,TX,0.970217804,0.1%,-0.7%,2441,30.4%,2.0%,8951,4.2%,29.3%,34,-15,11.0,$202K,10.4%,4.4%,3941,11.9%,13.8%
181,"Missouri City, TX",May 2016,All Residential,Place/City,False,TX,0.972958965,-0.4%,-1.0%,131,-4.4%,-9.0%,429,5.1%,35.8%,32,6,12.0,$250K,-3.8%,2.1%,201,16.2%,-8.2%
182,"Friendswood, TX",August 2016,All Residential,Place/City,False,TX,0.980332985,-0.8%,-0.5%,89,14.1%,30.9%,194,-3.0%,30.2%,14,3,3.0,$238K,-9.1%,2.6%,85,-19.8%,10.4%
183,"Galveston, TX",October 2016,All Residential,Place/City,False,TX,0.942611179,-0.8%,-2.2%,108,2.9%,9.1%,605,-1.3%,5.6%,74,13,2.0,$210K,-3.8%,16.7%,125,-17.2%,-5.3%
184,"Friendswood, TX",April 2017,All Residential,Place/City,False,TX,0.979298381,0.1%,-0.2%,66,-13.2%,-10.8%,182,16.7%,10.3%,26,10,2.0,$251K,5.8%,-25.0%,99,6.5%,3.1%
185,"Sugar Land, TX",November 2017,All Residential,Place/City,False,TX,0.9580520690000001,-1.0%,-1.0%,164,7.9%,20.6%,723,-4.2%,25.5%,74,29,20.0,$322K,3.7%,15.1%,157,-22.3%,12.9%
186,"Baytown, TX",February 2018,All Residential,Place/City,False,TX,0.96151933,-0.5%,-1.4%,83,5.1%,-1.2%,228,7.5%,6.0%,29,-9,-24.0,$180K,-0.9%,8.2%,118,8.3%,9.3%
187,"Galveston, TX",February 2018,All Residential,Place/City,False,TX,0.959777801,1.7%,0.9%,96,50.0%,18.5%,568,4.6%,-8.2%,67,-36,-30.0,$220K,22.1%,2.2%,168,15.1%,-0.6%
188,"League City, TX",May 2018,All Residential,Place/City,False,TX,0.981895286,0.1%,-0.4%,211,19.9%,-1.4%,442,17.9%,13.3%,14,-6,-9.0,$265K,2.1%,3.9%,289,5.9%,12.5%
189,"Galveston, TX",January 2019,All Residential,Place/City,False,TX,0.9668075190000001,0.9%,2.4%,69,-15.9%,7.8%,520,3.4%,-4.2%,71,-5,-32.0,$211K,5.1%,17.2%,153,71.9%,4.8%
190,"Missouri City, TX",March 2019,All Residential,Place/City,False,TX,0.97126001,0.5%,0.2%,140,21.7%,8.5%,570,4.0%,21.0%,62,-11,-3.0,$255K,10.5%,-1.2%,225,37.2%,4.7%
191,"Baytown, TX",July 2019,All Residential,Place/City,False,TX,0.9798398140000001,0.0%,0.2%,120,36.4%,5.3%,322,0.3%,-3.9%,21,-13,-4.0,$199K,-5.0%,-0.7%,147,-13.0%,-9.3%
192,"Houston, TX",July 2019,All Residential,Place/City,False,TX,0.9733001590000001,-0.3%,0.0%,3136,4.4%,8.0%,11294,1.5%,7.2%,30,2,1.0,$230K,-5.3%,0.9%,4074,-0.9%,-1.2%
193,"Conroe, TX",August 2019,All Residential,Place/City,False,TX,0.97139171,-0.2%,-0.5%,265,-3.3%,13.7%,802,2.7%,-5.8%,40,-1,1.0,$249K,-0.8%,2.8%,284,-6.9%,9.7%
194,"Pasadena, TX",September 2019,All Residential,Place/City,False,TX,0.974173909,1.1%,-0.9%,83,-23.1%,-2.4%,209,-1.9%,-4.6%,18,1,0.0,$166K,-1.2%,0.6%,100,-25.9%,-8.3%
195,"Baytown, TX",January 2020,All Residential,Place/City,False,TX,0.949120631,-3.3%,-0.8%,71,-34.3%,-1.4%,333,8.1%,12.5%,61,16,8.0,$186K,-8.7%,13.5%,143,74.4%,17.2%
196,"Missouri City, TX",January 2013,All Residential,Place/City,False,TX,0.956753298,-0.1%,0.7%,96,-29.4%,26.3%,430,-0.9%,-15.0%,81,-9,-26.0,$159K,-15.7%,-7.3%,155,43.5%,14.0%
197,"Houston, TX",July 2013,All Residential,Place/City,False,TX,0.981193743,-0.1%,1.1%,3082,8.3%,16.7%,7186,1.8%,-26.8%,22,0,-24.0,$180K,-0.2%,15.9%,3723,1.4%,18.1%
198,"Friendswood, TX",December 2013,All Residential,Place/City,False,TX,0.970887972,-1.2%,2.5%,69,38.0%,21.1%,158,-6.5%,-22.9%,47,2,-43.0,$217K,24.3%,31.2%,47,-13.0%,27.0%
199,"League City, TX",March 2014,All Residential,Place/City,False,TX,0.9801496120000001,0.9%,1.0%,168,15.9%,2.4%,388,-6.1%,-19.3%,28,-25,-34.0,$199K,-5.4%,6.8%,182,-7.6%,-13.7%
200,"Friendswood, TX",July 2014,All Residential,Place/City,False,TX,0.976465866,-0.4%,0.2%,89,0.0%,-21.2%,167,-2.9%,-9.7%,10,-4,-18.0,$236K,-1.2%,3.6%,89,-21.2%,-3.3%
201,"League City, TX",December 2014,All Residential,Place/City,False,TX,0.97734426,-0.3%,0.6%,178,17.1%,4.7%,364,-8.1%,-15.5%,44,-2,-17.0,$227K,8.1%,19.3%,133,-2.2%,24.3%
202,"Friendswood, TX",January 2015,All Residential,Place/City,False,TX,0.967870865,-0.5%,-0.2%,46,-36.1%,4.5%,106,-3.6%,-29.3%,29,4,-10.0,$175K,-16.5%,-4.1%,61,52.5%,-9.0%
203,"Galveston, TX",August 2015,All Residential,Place/City,False,TX,0.946039924,-0.2%,0.1%,113,-3.4%,-8.9%,631,12.1%,3.4%,65,-7,-15.0,$173K,2.7%,-4.5%,236,56.3%,90.3%
204,"Friendswood, TX",December 2015,All Residential,Place/City,False,TX,0.969829072,-1.4%,-0.3%,51,18.6%,-29.2%,134,-6.9%,21.8%,31,9,6.0,$217K,8.3%,3.3%,50,13.6%,25.0%
205,"Conroe, TX",October 2016,All Residential,Place/City,False,TX,0.9697478140000001,-0.5%,0.1%,152,-18.3%,-3.2%,751,-1.3%,1.5%,43,0,-9.0,$204K,-5.1%,-6.9%,186,-21.2%,-14.7%
206,"Sugar Land, TX",December 2016,All Residential,Place/City,False,TX,0.966901149,-0.1%,0.4%,177,30.1%,3.5%,520,-9.7%,3.2%,55,1,1.0,$323K,15.5%,2.4%,110,-20.9%,-4.3%
207,"Houston, TX",May 2017,All Residential,Place/City,False,TX,0.975120984,0.2%,0.2%,3141,19.4%,12.8%,10070,6.0%,8.8%,25,-5,-3.0,$212K,-0.9%,-0.7%,4400,7.9%,15.8%
208,"Conroe, TX",July 2017,All Residential,Place/City,False,TX,0.9735027629999999,0.0%,0.4%,227,-15.0%,15.2%,832,-1.8%,8.6%,41,5,-2.0,$228K,-2.1%,-3.0%,268,-14.9%,-1.8%
209,"Houston, TX",September 2017,All Residential,Place/City,False,TX,0.968764227,-0.3%,-0.2%,2568,15.7%,2.2%,9672,-10.0%,1.5%,39,7,6.0,$212K,-0.8%,3.3%,2755,-13.4%,-13.9%
210,"League City, TX",October 2017,All Residential,Place/City,False,TX,0.983878732,0.5%,-0.2%,144,-21.7%,-12.7%,423,-8.0%,1.2%,35,4,11.0,$271K,4.6%,8.4%,151,-3.8%,3.4%
211,"Sugar Land, TX",December 2017,All Residential,Place/City,False,TX,0.9641282,0.6%,-0.3%,155,-5.5%,-12.4%,635,-12.2%,22.1%,73,-1,18.0,$285K,-11.4%,-11.6%,111,-29.3%,0.9%
212,"Conroe, TX",June 2018,All Residential,Place/City,False,TX,0.9830902029999999,0.6%,0.9%,245,-1.6%,-8.2%,835,3.9%,-1.4%,29,-7,-7.0,$239K,-1.3%,2.5%,297,-11.6%,-5.7%
213,"Houston, TX",March 2019,All Residential,Place/City,False,TX,0.9706427329999999,0.2%,0.2%,2615,30.1%,-3.3%,10019,3.9%,14.1%,45,-4,8.0,$227K,8.0%,4.3%,4132,22.5%,0.1%
214,"Baytown, TX",April 2019,All Residential,Place/City,False,TX,0.980098337,-0.3%,0.7%,108,3.8%,-2.7%,252,-4.5%,-1.6%,34,6,8.0,$192K,-2.6%,-3.5%,110,-12.7%,-22.5%
215,"Friendswood, TX",May 2012,All Residential,Place/City,False,TX,0.963652581,0.5%,-0.9%,83,40.7%,232.0%,293,-1.7%,4.6%,125,21,64.0,$220K,39.6%,54.1%,103,-1.9%,66.1%
216,"Galveston, TX",October 2012,All Residential,Place/City,False,TX,0.941076488,0.9%,4.5%,71,44.9%,3450.0%,551,-1.3%,-0.5%,57,-30,-86.0,$152K,-9.3%,195.9%,103,17.0%,9.6%
217,"Conroe, TX",November 2012,All Residential,Place/City,False,TX,0.958716605,-1.1%,0.6%,125,5.0%,42.0%,518,-2.4%,-12.5%,71,-5,10.0,$175K,12.9%,18.6%,127,-3.1%,-2.3%
218,"Missouri City, TX",March 2013,All Residential,Place/City,False,TX,0.962108617,-0.1%,0.8%,145,52.6%,21.8%,449,3.0%,-11.8%,65,-16,-14.0,$180K,9.2%,4.1%,195,12.7%,1.0%
219,"Missouri City, TX",June 2013,All Residential,Place/City,False,TX,0.983326591,1.2%,1.6%,185,5.7%,20.9%,438,-2.7%,-22.8%,31,-10,-23.0,$219K,9.0%,17.1%,188,-23.3%,3.3%
220,"Houston, TX",August 2013,All Residential,Place/City,False,TX,0.981668208,0.0%,1.2%,3004,-2.5%,9.2%,7197,0.2%,-23.2%,23,1,-23.0,$179K,-0.4%,17.4%,3419,-8.2%,15.4%
221,"Pasadena, TX",August 2013,All Residential,Place/City,False,TX,0.972510216,-1.2%,1.6%,96,5.5%,20.0%,285,0.0%,-22.3%,54,14,-2.0,$108K,-10.4%,6.9%,108,-0.9%,12.5%
222,"Baytown, TX",January 2014,All Residential,Place/City,False,TX,0.955570433,-2.6%,-1.3%,57,-19.7%,1.8%,280,-3.1%,-21.3%,74,-22,-15.0,$118K,-9.2%,-0.9%,91,51.7%,12.3%
223,"League City, TX",February 2014,All Residential,Place/City,False,TX,0.97074173,-0.7%,0.6%,145,40.8%,33.0%,413,3.0%,-13.2%,53,-10,-17.0,$210K,3.4%,3.9%,197,34.9%,2.1%
224,"Sugar Land, TX",May 2014,All Residential,Place/City,False,TX,0.9866937659999999,1.4%,1.9%,191,-5.4%,-31.5%,342,13.6%,-7.6%,14,-3,-8.0,$315K,3.3%,-1.1%,310,21.1%,-4.0%
225,"Baytown, TX",May 2014,All Residential,Place/City,False,TX,0.986174532,2.0%,1.2%,106,8.2%,0.0%,251,-1.6%,-30.3%,42,-11,-26.0,$135K,-1.4%,12.5%,112,-11.1%,-17.0%
226,"Houston, TX",January 2015,All Residential,Place/City,False,TX,0.978136364,-0.1%,0.5%,1618,-39.3%,-8.0%,6565,9.9%,10.4%,33,5,-9.0,$170K,-12.3%,7.9%,3210,50.8%,12.0%
227,"Sugar Land, TX",February 2015,All Residential,Place/City,False,TX,0.973446117,-0.9%,0.3%,116,4.5%,-10.1%,394,11.9%,30.5%,26,8,-3.0,$305K,2.5%,8.9%,213,14.5%,15.1%
228,"Houston, TX",February 2015,All Residential,Place/City,False,TX,0.9759184959999999,-0.2%,0.1%,1839,13.7%,-12.3%,6838,4.2%,17.8%,27,-6,-9.0,$177K,4.2%,4.1%,3165,-1.4%,12.6%
229,"Conroe, TX",May 2016,All Residential,Place/City,False,TX,0.9700998679999999,-0.3%,-0.6%,203,23.0%,2.5%,749,-0.7%,19.1%,43,-9,10.0,$230K,3.4%,9.9%,221,-12.3%,-16.3%
230,"League City, TX",June 2016,All Residential,Place/City,False,TX,0.989606105,0.3%,0.3%,218,-3.5%,9.5%,404,13.5%,1.5%,27,12,2.0,$245K,1.7%,2.9%,267,25.4%,17.6%
231,"Baytown, TX",July 2016,All Residential,Place/City,False,TX,0.986064078,0.8%,1.2%,103,-1.9%,-7.2%,262,-1.5%,5.6%,21,-6,-12.0,$169K,1.2%,7.6%,116,-21.1%,-23.2%
232,"League City, TX",August 2016,All Residential,Place/City,False,TX,0.989457037,0.0%,0.7%,228,13.4%,12.3%,432,7.2%,6.7%,18,5,2.0,$241K,-1.1%,3.8%,227,0.4%,11.3%
233,"Sugar Land, TX",September 2016,All Residential,Place/City,False,TX,0.969302454,-0.5%,-0.3%,162,-22.1%,-12.9%,673,-4.8%,21.7%,37,9,2.0,$286K,-6.5%,-14.3%,177,-18.8%,-16.1%
234,"Baytown, TX",November 2016,All Residential,Place/City,False,TX,0.972438712,-0.3%,-0.4%,82,-11.8%,10.8%,247,-4.3%,-10.2%,36,11,3.0,$173K,-0.9%,15.5%,85,-15.8%,3.7%
235,"Pasadena, TX",May 2017,All Residential,Place/City,False,TX,0.974919667,0.2%,-0.3%,105,34.6%,10.5%,154,-3.8%,12.4%,14,-7,-3.0,$152K,4.1%,-2.3%,107,1.9%,-1.8%
236,"Baytown, TX",November 2017,All Residential,Place/City,False,TX,0.973392574,-0.2%,0.1%,109,-12.1%,32.9%,235,-6.7%,-4.9%,53,18,17.0,$183K,7.8%,5.3%,103,-21.4%,21.2%
237,"Missouri City, TX",December 2017,All Residential,Place/City,False,TX,0.968627005,0.3%,-0.9%,145,20.8%,2.8%,467,-9.5%,7.4%,77,18,23.0,$242K,0.8%,0.8%,107,-20.1%,-3.6%
238,"Conroe, TX",December 2017,All Residential,Place/City,False,TX,0.963351663,-0.8%,0.0%,201,8.1%,7.5%,679,-7.4%,-1.6%,50,4,-12.0,$230K,4.7%,4.0%,150,-26.8%,5.6%
239,"Baytown, TX",April 2018,All Residential,Place/City,False,TX,0.9727716590000001,-1.0%,-0.8%,111,20.7%,27.6%,256,4.9%,13.3%,26,5,0.0,$199K,9.0%,17.1%,142,-2.7%,21.4%
240,"Pasadena, TX",October 2018,All Residential,Place/City,False,TX,0.968942628,-1.4%,-0.4%,86,1.2%,16.2%,220,0.5%,40.1%,18,0,-6.0,$154K,-6.4%,-5.4%,99,-9.2%,25.3%
241,"Galveston, TX",October 2018,All Residential,Place/City,False,TX,0.949389713,-0.7%,0.5%,109,-5.2%,17.2%,578,-1.4%,4.5%,79,32,3.0,$265K,21.8%,3.1%,142,27.9%,7.6%
242,"Baytown, TX",November 2018,All Residential,Place/City,False,TX,0.968004767,0.2%,-0.5%,88,-5.4%,-19.3%,320,5.6%,36.2%,34,-3,-19.0,$179K,-3.3%,-1.9%,117,4.5%,13.6%
243,"Houston, TX",December 2018,All Residential,Place/City,False,TX,0.969485569,0.0%,0.4%,2498,2.4%,-6.6%,9249,-7.5%,12.4%,51,7,7.0,$218K,0.0%,0.4%,2164,-21.7%,1.7%
244,"League City, TX",July 2019,All Residential,Place/City,False,TX,0.983650145,-0.1%,-0.2%,221,8.3%,16.9%,516,4.7%,-8.2%,26,-1,7.0,$285K,5.2%,4.7%,289,20.9%,7.4%
