Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Friendswood, TX",Mar-16,All Residential,Place/City,FALSE,TX,0.978342935,0.90%,0.40%,74,42.30%,23.30%,152,12.60%,56.70%,26,-18,11,$238K,-6.90%,13.80%,87,17.60%,22.50%
"League City, TX",Feb-12,All Residential,Place/City,FALSE,TX,0.970863426,1.60%,2.60%,123,75.70%,12200.00%,579,-4.50%,24.80%,93,-12,58,$160K,-9.60%,137.00%,174,30.80%,126.00%
"Texas City, TX",Jun-12,All Residential,Place/City,FALSE,TX,0.889937715,-6.00%,,30,0.00%,,234,7.30%,,65,4,,$58K,-31.30%,,65,51.20%,
"Texas City, TX",Jul-12,All Residential,Place/City,FALSE,TX,0.947664931,5.80%,9.20%,31,3.30%,3000.00%,226,-3.40%,18.30%,88,23,-661,$91K,56.40%,-77.40%,51,-21.50%,50.00%
"Sugar Land, TX",Oct-12,All Residential,Place/City,FALSE,TX,0.96525081,-0.10%,1.80%,163,14.00%,37.00%,530,-8.90%,-24.20%,47,1,-50,$233K,8.40%,3.10%,193,-24.30%,15.60%
"Sugar Land, TX",Apr-13,All Residential,Place/City,FALSE,TX,0.9661069,0.70%,0.20%,201,16.90%,26.40%,338,-8.20%,-43.90%,21,-8,-13,$242K,-6.00%,-8.00%,249,7.30%,-4.20%
"Sugar Land, TX",Sep-13,All Residential,Place/City,FALSE,TX,0.971043314,-0.50%,0.40%,179,-30.10%,25.20%,369,-3.90%,-36.60%,23,5,-23,$285K,3.60%,32.60%,186,-11.40%,-27.10%
"Texas City, TX",Dec-13,All Residential,Place/City,FALSE,TX,0.936019854,-0.50%,0.70%,34,6.30%,6.30%,182,-10.30%,-12.50%,91,-24,31,$117K,26.60%,29.40%,25,-26.50%,-19.40%
"Baytown, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.975559547,0.30%,2.00%,80,11.10%,-14.90%,260,-8.80%,-25.10%,52,-33,-31,$114K,-2.60%,-6.40%,112,0.90%,9.80%
"Baytown, TX",Nov-14,All Residential,Place/City,FALSE,TX,0.96874226,-1.40%,0.20%,89,-12.70%,56.10%,275,-3.20%,-15.60%,62,27,20,$152K,5.00%,12.70%,92,-14.00%,91.70%
"Galveston, TX",Nov-14,All Residential,Place/City,FALSE,TX,0.945866092,-2.00%,2.50%,86,-4.40%,62.30%,552,-2.10%,-1.80%,80,8,-7,$185K,9.60%,15.60%,83,-19.40%,0.00%
"Pasadena, TX",Dec-14,All Residential,Place/City,FALSE,TX,0.974409024,-0.50%,1.40%,94,74.10%,10.60%,171,-6.00%,-36.00%,35,10,-34,$129K,3.40%,3.40%,60,-7.70%,9.10%
"Texas City, TX",Dec-14,All Residential,Place/City,FALSE,TX,0.94986065,-0.70%,1.40%,40,33.30%,17.60%,138,-8.60%,-24.20%,51,12,-40,$100K,-4.30%,-13.80%,34,-17.10%,36.00%
"Friendswood, TX",Feb-15,All Residential,Place/City,FALSE,TX,0.968181488,0.00%,-0.40%,44,-4.30%,-24.10%,99,-6.60%,-35.70%,45,16,5,$246K,40.80%,39.70%,61,0.00%,-19.70%
"Baytown, TX",Feb-15,All Residential,Place/City,FALSE,TX,0.978501435,0.60%,0.50%,69,-4.20%,-4.20%,229,-6.10%,-19.60%,77,30,-8,$155K,19.30%,33.00%,91,-9.90%,-18.00%
"Pasadena, TX",Mar-15,All Residential,Place/City,FALSE,TX,0.970927013,-0.20%,-0.50%,85,19.70%,28.80%,156,-3.70%,-33.90%,35,-1,-17,$115K,9.50%,-11.50%,110,18.30%,0.00%
"League City, TX",Aug-15,All Residential,Place/City,FALSE,TX,0.982917776,-0.40%,0.10%,203,-12.50%,-10.20%,405,-2.90%,-11.00%,16,0,-9,$232K,-0.20%,5.60%,204,-20.00%,-7.30%
"League City, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.975157477,-0.20%,-0.30%,127,28.30%,-7.30%,386,-3.50%,4.90%,40,2,-8,$235K,-0.50%,3.00%,187,-0.50%,2.20%
"Baytown, TX",Aug-16,All Residential,Place/City,FALSE,TX,0.987720236,0.20%,1.90%,122,18.40%,18.40%,254,-3.10%,-11.20%,26,5,-1,$166K,-1.80%,10.70%,126,8.60%,-13.70%
"Missouri City, TX",Jun-17,All Residential,Place/City,FALSE,TX,0.973362612,0.20%,-0.60%,183,3.40%,10.90%,599,5.60%,30.50%,27,-8,6,$255K,-1.80%,6.40%,252,-10.60%,26.60%
"Houston, TX",Apr-18,All Residential,Place/City,FALSE,TX,0.971143359,0.20%,-0.20%,2733,1.00%,3.90%,9337,6.30%,-1.70%,28,-9,-2,$220K,1.10%,2.80%,4321,4.70%,6.00%
"Sugar Land, TX",Jun-18,All Residential,Place/City,FALSE,TX,0.97527045,0.80%,0.90%,234,4.90%,-0.40%,868,10.30%,5.70%,26,-1,0,$347K,11.00%,0.70%,330,-10.60%,-0.60%
"League City, TX",Jul-18,All Residential,Place/City,FALSE,TX,0.985404512,-0.10%,-0.10%,189,-4.50%,-2.10%,562,10.00%,14.90%,19,1,2,$272K,1.80%,2.80%,269,-1.10%,-1.80%
"League City, TX",May-20,All Residential,Place/City,FALSE,TX,0.987520191,0.20%,0.00%,131,-10.90%,-38.20%,362,0.80%,-27.30%,26,9,-7,$265K,-5.40%,-1.80%,260,59.50%,-5.50%
"Missouri City, TX",Jun-20,All Residential,Place/City,FALSE,TX,0.977545415,-0.50%,-0.10%,202,60.30%,36.50%,368,-10.70%,-45.10%,55,17,13,$275K,4.00%,7.60%,202,12.20%,-14.40%
"Texas City, TX",Nov-12,All Residential,Place/City,FALSE,TX,0.941920415,2.90%,,33,3.10%,,222,-2.20%,,84,15,,$96K,74.80%,,46,-14.80%,
"Friendswood, TX",Feb-13,All Residential,Place/City,FALSE,TX,0.950292612,-2.00%,0.50%,43,4.90%,19.40%,229,5.50%,-21.00%,87,10,-28,$160K,3.30%,-29.20%,81,8.00%,5.20%
"Missouri City, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.978811771,0.70%,0.20%,95,-32.10%,-10.40%,293,7.30%,-18.20%,42,10,-4,$224K,-8.60%,18.20%,163,50.90%,12.40%
"Houston, TX",May-16,All Residential,Place/City,FALSE,TX,0.973531478,0.20%,-0.70%,2784,11.40%,4.60%,9258,2.60%,26.20%,28,0,8,$214K,4.10%,5.40%,3800,4.00%,3.80%
"Texas City, TX",Jun-18,All Residential,Place/City,FALSE,TX,0.969327421,0.60%,-1.00%,78,21.90%,41.80%,213,7.00%,38.30%,28,3,0,$170K,6.10%,20.00%,106,16.50%,7.10%
"League City, TX",Oct-19,All Residential,Place/City,FALSE,TX,0.978614282,-0.20%,-0.20%,169,2.40%,-1.70%,439,-7.00%,-8.50%,40,7,-2,$274K,-2.10%,1.30%,179,2.30%,7.20%
"Missouri City, TX",Dec-19,All Residential,Place/City,FALSE,TX,0.971559802,-0.10%,0.80%,173,51.80%,13.80%,478,-9.80%,-15.10%,51,-24,-25,$244K,1.50%,-9.20%,139,8.60%,19.80%
"Pasadena, TX",Feb-20,All Residential,Place/City,FALSE,TX,0.982019344,1.10%,-0.30%,80,31.10%,8.10%,203,3.00%,2.00%,42,2,18,$173K,2.30%,0.80%,104,23.80%,19.50%
"Friendswood, TX",Apr-20,All Residential,Place/City,FALSE,TX,0.979638641,0.10%,-0.50%,54,-21.70%,-23.90%,135,-1.50%,-36.30%,24,0,-6,$258K,-19.30%,-3.50%,88,7.30%,-21.40%
"Missouri City, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.973673975,0.50%,1.20%,136,56.30%,-6.20%,354,-7.60%,-21.20%,26,-35,-39,$217K,21.00%,20.20%,184,0.00%,-5.60%
"Texas City, TX",Mar-16,All Residential,Place/City,FALSE,TX,0.946703264,-0.20%,-2.60%,52,23.80%,20.90%,98,11.40%,-21.60%,49,10,6,$126K,5.20%,9.80%,69,81.60%,40.80%
"Sugar Land, TX",Apr-19,All Residential,Place/City,FALSE,TX,0.971752477,1.20%,0.10%,166,8.50%,-13.10%,763,6.90%,12.40%,40,-29,5,$310K,-3.30%,-0.50%,289,-4.30%,-3.70%
"Pasadena, TX",Apr-18,All Residential,Place/City,FALSE,TX,0.974617058,0.40%,0.20%,93,27.40%,19.20%,136,6.30%,-15.00%,9,-4,-12,$160K,-5.90%,9.50%,110,-10.60%,4.80%
"League City, TX",Mar-12,All Residential,Place/City,FALSE,TX,0.965159783,-0.60%,1.00%,140,13.80%,4566.70%,593,2.40%,21.00%,104,11,4,$176K,9.80%,-34.40%,203,16.70%,82.90%
"Missouri City, TX",Apr-12,All Residential,Place/City,FALSE,TX,0.96529968,1.10%,1.70%,115,-3.40%,15.00%,555,9.00%,-22.70%,55,-24,-81,$173K,-0.10%,11.50%,201,4.10%,5.20%
"Houston, TX",Oct-12,All Residential,Place/City,FALSE,TX,0.966003564,-0.20%,0.70%,2288,6.20%,32.20%,8303,-6.30%,-27.50%,53,5,-17,$155K,3.80%,14.60%,2625,3.10%,1.10%
"Missouri City, TX",Oct-15,All Residential,Place/City,FALSE,TX,0.974682949,-0.20%,0.80%,125,-3.80%,-18.80%,389,-1.30%,15.10%,33,7,1,$230K,-9.80%,6.70%,165,18.70%,18.70%
"Missouri City, TX",Nov-16,All Residential,Place/City,FALSE,TX,0.972577618,-0.90%,0.60%,104,-11.10%,4.00%,463,-5.10%,27.90%,45,18,9,$252K,9.30%,11.80%,124,-24.80%,6.00%
"Houston, TX",Nov-19,All Residential,Place/City,FALSE,TX,0.971071697,0.20%,0.10%,2315,-9.30%,-5.10%,10094,-5.80%,1.00%,45,0,1,$222K,-0.90%,2.10%,2724,-20.30%,-1.40%
"Pasadena, TX",Jan-20,All Residential,Place/City,FALSE,TX,0.9707838,-0.90%,0.00%,61,-35.80%,3.40%,197,-1.50%,-7.10%,40,9,0,$169K,-10.60%,7.60%,84,6.30%,-12.50%
"Houston, TX",Feb-20,All Residential,Place/City,FALSE,TX,0.968842385,0.10%,0.00%,2192,24.10%,9.10%,9759,3.80%,1.20%,55,-3,6,$234K,11.20%,11.20%,3682,6.40%,9.20%
"Missouri City, TX",Apr-20,All Residential,Place/City,FALSE,TX,0.976065164,0.00%,1.00%,135,-21.50%,-16.70%,464,-5.90%,-20.30%,52,-9,6,$259K,5.10%,-1.00%,147,-25.40%,-42.40%
"Sugar Land, TX",Oct-13,All Residential,Place/City,FALSE,TX,0.972542088,0.10%,0.70%,177,-1.10%,8.60%,368,-0.30%,-30.60%,23,0,-24,$260K,-8.80%,11.60%,229,23.10%,18.70%
"Friendswood, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.967590704,0.00%,-1.50%,75,50.00%,10.30%,217,6.90%,31.50%,45,-17,32,$290K,18.40%,18.60%,106,68.30%,-18.50%
"Galveston, TX",Oct-19,All Residential,Place/City,FALSE,TX,0.961607809,0.50%,1.20%,96,-17.20%,-11.90%,570,-3.10%,-1.40%,60,5,-19,$244K,3.80%,-7.90%,145,14.20%,2.10%
"League City, TX",Nov-19,All Residential,Place/City,FALSE,TX,0.982823218,0.40%,0.50%,158,-6.50%,-6.50%,396,-9.80%,-18.90%,35,-5,-10,$265K,-3.30%,1.90%,136,-24.00%,-19.50%
"League City, TX",Jan-20,All Residential,Place/City,FALSE,TX,0.978963753,0.20%,0.10%,107,-32.70%,18.90%,333,-2.30%,-28.70%,56,5,2,$272K,0.70%,5.40%,154,111.00%,-19.80%
"Pasadena, TX",Mar-20,All Residential,Place/City,FALSE,TX,0.980627159,-0.10%,0.30%,72,-10.00%,-24.20%,215,5.90%,16.20%,21,-21,-9,$179K,3.80%,13.20%,95,-8.70%,-1.00%
"Sugar Land, TX",Nov-12,All Residential,Place/City,FALSE,TX,0.968708585,0.30%,0.90%,150,-8.00%,23.00%,469,-11.50%,-29.80%,69,22,-11,$238K,2.30%,-0.20%,123,-36.30%,-13.40%
"Baytown, TX",Oct-14,All Residential,Place/City,FALSE,TX,0.982697855,0.50%,1.70%,102,8.50%,45.70%,284,-8.10%,-21.10%,35,0,-34,$145K,-3.10%,12.10%,107,-4.50%,-0.90%
"League City, TX",Jan-16,All Residential,Place/City,FALSE,TX,0.977103794,0.20%,-0.40%,99,-43.80%,-8.30%,400,10.20%,9.60%,38,2,1,$236K,2.50%,8.40%,188,66.40%,13.90%
"Pasadena, TX",Oct-17,All Residential,Place/City,FALSE,TX,0.972778279,-0.20%,-0.40%,74,-9.80%,-8.60%,157,-10.80%,-15.10%,24,3,-1,$163K,4.60%,16.60%,79,-11.20%,-24.80%
"League City, TX",Jul-12,All Residential,Place/City,FALSE,TX,0.970763133,-0.70%,,171,11.80%,,605,3.40%,,51,2,,$188K,1.20%,,192,-5.40%,
"Texas City, TX",Jul-15,All Residential,Place/City,FALSE,TX,0.950457903,0.50%,1.80%,57,58.30%,42.50%,142,-2.10%,-17.40%,54,29,5,$121K,-4.30%,74.10%,57,-3.40%,-18.60%
"Texas City, TX",Jan-16,All Residential,Place/City,FALSE,TX,0.9641161,-0.90%,1.00%,37,-7.50%,12.10%,113,13.00%,-8.90%,32,-12,-27,$124K,9.30%,52.10%,54,80.00%,22.70%
"Missouri City, TX",Dec-16,All Residential,Place/City,FALSE,TX,0.977191948,0.50%,0.40%,141,35.60%,-1.40%,435,-6.00%,34.30%,54,9,16,$240K,-4.60%,0.00%,111,-10.50%,14.40%
"Galveston, TX",Aug-16,All Residential,Place/City,FALSE,TX,0.957956176,0.60%,1.20%,119,-10.50%,5.30%,614,-6.00%,-2.70%,47,-8,-18,$189K,17.80%,9.10%,146,-12.00%,-38.10%
"Galveston, TX",Jun-17,All Residential,Place/City,FALSE,TX,0.944324009,-0.10%,-1.00%,148,-3.30%,12.10%,644,-2.60%,-1.70%,54,-8,9,$203K,-13.80%,8.60%,163,-20.10%,-11.40%
"Sugar Land, TX",Oct-18,All Residential,Place/City,FALSE,TX,0.966670821,0.20%,-0.20%,158,16.20%,3.90%,763,-1.00%,1.10%,51,-8,6,$308K,1.00%,-0.60%,193,-4.90%,-4.50%
"Baytown, TX",Dec-18,All Residential,Place/City,FALSE,TX,0.983317207,1.50%,0.90%,97,10.20%,-21.10%,291,-9.10%,42.60%,47,13,15,$185K,3.40%,-3.20%,64,-45.30%,-4.50%
"Sugar Land, TX",May-20,All Residential,Place/City,FALSE,TX,0.964950584,0.00%,-0.20%,106,-15.20%,-49.00%,647,0.80%,-20.90%,40,-6,4,$330K,0.00%,-8.30%,264,56.20%,-15.90%
"Sugar Land, TX",Mar-12,All Residential,Place/City,FALSE,TX,0.95662486,0.50%,1.00%,130,15.00%,-10.30%,613,8.90%,-26.40%,66,-22,-30,$256K,16.60%,0.40%,283,54.60%,3.30%
"Texas City, TX",Feb-14,All Residential,Place/City,FALSE,TX,0.959457043,2.70%,-0.10%,20,-9.10%,-28.60%,170,-4.00%,-11.90%,81,-19,24,$78K,-4.50%,10.20%,39,-13.30%,18.20%
"Baytown, TX",May-16,All Residential,Place/City,FALSE,TX,0.98045665,-0.80%,0.10%,106,9.30%,34.20%,249,0.40%,13.70%,33,0,2,$168K,3.10%,12.00%,115,6.50%,-5.70%
"Baytown, TX",Mar-17,All Residential,Place/City,FALSE,TX,0.97780101,0.30%,-0.40%,112,33.30%,-5.10%,211,-1.90%,-18.80%,25,-28,-19,$169K,1.70%,4.40%,120,11.10%,-7.70%
"Houston, TX",Feb-19,All Residential,Place/City,FALSE,TX,0.968514871,0.30%,0.30%,2010,27.40%,-4.50%,9645,1.80%,16.40%,49,-2,0,$210K,5.00%,-2.30%,3372,1.10%,4.20%
"Texas City, TX",Apr-19,All Residential,Place/City,FALSE,TX,0.968310406,-0.10%,-2.30%,72,4.30%,0.00%,215,-0.50%,10.80%,51,2,19,$199K,5.30%,22.50%,83,9.20%,-16.20%
"Sugar Land, TX",Dec-19,All Residential,Place/City,FALSE,TX,0.959578719,-0.40%,0.00%,166,23.00%,9.20%,622,-11.00%,-1.90%,76,12,-5,$309K,8.20%,0.70%,102,-32.50%,7.40%
"Friendswood, TX",Mar-12,All Residential,Place/City,FALSE,TX,0.946719047,0.10%,-2.90%,60,66.70%,130.80%,291,0.30%,11.10%,98,-17,6,$191K,-15.60%,33.90%,98,27.30%,44.10%
"Houston, TX",Jun-12,All Residential,Place/City,FALSE,TX,0.971947676,0.30%,1.30%,2694,0.80%,12.20%,10020,-0.40%,-23.50%,44,0,-19,$159K,-0.70%,7.30%,3476,-0.60%,3.10%
"Houston, TX",Feb-14,All Residential,Place/City,FALSE,TX,0.974931002,0.20%,0.80%,2096,19.20%,9.20%,5807,-2.30%,-16.50%,36,-6,-16,$170K,8.00%,6.90%,2812,-1.80%,-7.30%
"Houston, TX",Jul-14,All Residential,Place/City,FALSE,TX,0.984240222,-0.10%,0.30%,3057,2.80%,-0.80%,6683,8.10%,-7.00%,16,-1,-6,$193K,-3.40%,7.50%,3712,2.70%,-0.30%
"Missouri City, TX",Jul-14,All Residential,Place/City,FALSE,TX,0.983546567,0.10%,0.70%,163,-7.90%,-5.20%,386,1.60%,-8.50%,22,3,-12,$245K,-2.00%,21.70%,192,-9.90%,-10.30%
"Texas City, TX",Mar-15,All Residential,Place/City,FALSE,TX,0.972397367,2.30%,2.50%,43,26.50%,16.20%,125,-2.30%,-22.80%,43,-28,-88,$115K,7.50%,32.20%,49,-3.90%,-5.80%
"Baytown, TX",May-17,All Residential,Place/City,FALSE,TX,0.980375259,0.00%,0.00%,92,5.70%,-13.20%,234,3.50%,-6.00%,23,-3,-10,$181K,6.20%,7.80%,122,4.30%,6.10%
"Sugar Land, TX",Jul-17,All Residential,Place/City,FALSE,TX,0.972099474,0.60%,-0.40%,203,-13.60%,-4.20%,899,9.50%,22.50%,31,5,3,$351K,1.70%,-3.50%,303,-8.70%,3.10%
"Pasadena, TX",Apr-20,All Residential,Place/City,FALSE,TX,0.974661195,-0.60%,0.00%,63,-12.50%,-32.30%,209,-2.80%,16.10%,19,-2,-14,$182K,1.40%,11.00%,83,-12.60%,-29.70%
"Baytown, TX",May-13,All Residential,Place/City,FALSE,TX,0.973733489,1.30%,0.20%,106,60.60%,63.10%,360,10.40%,-14.10%,68,-78,8,$120K,3.30%,-2.40%,135,31.10%,13.40%
"Sugar Land, TX",Aug-14,All Residential,Place/City,FALSE,TX,0.981342807,-0.30%,0.50%,240,12.10%,-6.30%,397,-5.30%,3.40%,17,4,-1,$305K,-4.50%,10.90%,231,-15.70%,10.00%
"Friendswood, TX",Aug-18,All Residential,Place/City,FALSE,TX,0.973461911,-0.10%,-0.60%,73,-17.00%,4.30%,275,3.40%,27.90%,25,10,6,$285K,4.00%,-7.30%,108,-10.70%,35.00%
"Baytown, TX",Oct-19,All Residential,Place/City,FALSE,TX,0.972691362,0.30%,0.70%,108,8.00%,16.10%,327,0.90%,7.90%,33,1,-4,$203K,4.70%,9.50%,126,8.60%,12.50%
"Houston, TX",May-12,All Residential,Place/City,FALSE,TX,0.969364624,0.10%,1.00%,2672,18.70%,21.70%,10057,-0.10%,-24.30%,44,-10,-21,$160K,5.90%,10.30%,3496,1.80%,5.20%
"Houston, TX",Jan-13,All Residential,Place/City,FALSE,TX,0.968370882,0.00%,1.00%,1712,-23.40%,29.60%,7103,-1.50%,-29.70%,56,0,-25,$137K,-17.30%,13.80%,2814,54.40%,-0.70%
"Baytown, TX",Feb-12,All Residential,Place/City,FALSE,TX,0.962269846,-1.40%,0.40%,59,28.30%,34.10%,392,0.80%,-20.80%,89,5,12,$99K,-8.20%,-10.70%,92,8.20%,-19.30%
"League City, TX",Apr-12,All Residential,Place/City,FALSE,TX,0.972889868,0.80%,13.10%,139,-0.70%,4533.30%,599,1.00%,14.10%,79,-25,-93,$194K,10.40%,6.80%,217,6.90%,87.10%
"Friendswood, TX",Jul-12,All Residential,Place/City,FALSE,TX,0.959821186,-0.90%,0.30%,78,-3.70%,254.50%,279,-2.10%,-14.40%,45,-12,-11,$188K,-8.50%,28.70%,89,3.50%,17.10%
"Baytown, TX",Jul-12,All Residential,Place/City,FALSE,TX,0.981481692,1.20%,0.60%,82,-10.90%,10.80%,438,-2.00%,-14.30%,69,12,5,$120K,0.60%,8.10%,110,-22.00%,23.60%
"Galveston, TX",Aug-12,All Residential,Place/City,FALSE,TX,0.95307707,1.80%,18.10%,89,3.50%,2866.70%,587,-1.30%,9.10%,79,3,54,$137K,-22.70%,469.80%,110,-12.70%,39.20%
"Pasadena, TX",Oct-12,All Residential,Place/City,FALSE,TX,0.953057256,-2.90%,0.20%,76,33.30%,49.00%,345,-3.90%,-25.60%,67,2,-14,$102K,-9.40%,20.80%,92,12.20%,3.40%
"Baytown, TX",Nov-12,All Residential,Place/City,FALSE,TX,0.96732313,0.40%,-0.60%,64,-26.40%,-4.50%,387,-4.70%,-6.10%,88,3,15,$132K,12.10%,32.30%,76,-25.50%,-1.30%
"Sugar Land, TX",Feb-13,All Residential,Place/City,FALSE,TX,0.956721792,0.00%,0.50%,134,20.70%,18.60%,389,-1.00%,-30.90%,63,-19,-25,$229K,-1.60%,4.40%,182,-6.20%,-0.50%
"League City, TX",Mar-13,All Residential,Place/City,FALSE,TX,0.969883416,0.50%,0.50%,164,50.50%,17.10%,481,1.10%,-18.90%,62,-8,-42,$186K,-7.90%,5.90%,211,9.30%,3.90%
"Texas City, TX",Aug-13,All Residential,Place/City,FALSE,TX,0.966645772,2.30%,2.00%,29,-17.10%,-27.50%,209,-2.30%,-8.70%,79,27,6,$81K,-3.60%,10.40%,49,-7.50%,-10.90%
"Baytown, TX",Oct-13,All Residential,Place/City,FALSE,TX,0.965370378,-0.10%,0.20%,70,-6.70%,-19.50%,360,0.00%,-11.30%,69,22,-16,$129K,3.50%,9.70%,108,0.90%,5.90%
"Texas City, TX",Nov-13,All Residential,Place/City,FALSE,TX,0.941019041,-1.70%,-0.10%,32,23.10%,-3.00%,203,-5.60%,-8.60%,115,50,31,$92K,30.50%,-4.40%,34,-35.80%,-26.10%
"Friendswood, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.982335832,1.00%,1.20%,53,-8.60%,6.00%,163,5.80%,-34.50%,32,-8,-13,$180K,2.10%,-5.80%,86,13.20%,-21.10%
"Pasadena, TX",Apr-14,All Residential,Place/City,FALSE,TX,0.981604269,0.60%,0.40%,103,56.10%,37.30%,204,-13.60%,-32.90%,34,-18,-8,$120K,-7.80%,4.40%,90,-18.20%,-18.90%
"League City, TX",Jun-14,All Residential,Place/City,FALSE,TX,0.982181035,-0.10%,0.40%,213,23.80%,15.10%,407,-2.20%,-13.60%,19,-5,-13,$215K,7.00%,7.60%,192,-23.80%,-12.70%
"Galveston, TX",Jun-14,All Residential,Place/City,FALSE,TX,0.942945517,-0.60%,0.10%,127,-3.80%,22.10%,627,-4.60%,1.00%,69,0,-40,$170K,-17.10%,-11.60%,150,-13.30%,10.30%
"Missouri City, TX",May-15,All Residential,Place/City,FALSE,TX,0.983256913,0.20%,0.70%,144,0.70%,-11.10%,316,2.30%,-9.50%,20,-6,-12,$245K,-4.80%,3.80%,219,5.30%,1.40%
"Missouri City, TX",Sep-15,All Residential,Place/City,FALSE,TX,0.976351848,0.10%,-0.40%,130,-22.60%,8.30%,394,-2.70%,4.20%,26,2,8,$254K,7.40%,18.40%,139,-28.00%,-14.20%
"Missouri City, TX",Nov-15,All Residential,Place/City,FALSE,TX,0.966534569,-0.80%,-0.30%,100,-20.00%,-19.40%,362,-6.90%,23.10%,36,3,1,$225K,-2.00%,-7.20%,117,-29.10%,31.50%
"Texas City, TX",May-16,All Residential,Place/City,FALSE,TX,0.99281289,5.30%,0.50%,52,-3.70%,26.80%,92,-16.40%,-34.80%,23,-9,7,$132K,21.40%,0.80%,56,-21.10%,1.80%
"Texas City, TX",Jan-17,All Residential,Place/City,FALSE,TX,0.977737682,-0.90%,1.40%,29,-27.50%,-21.60%,133,17.70%,17.70%,29,11,-3,$139K,-6.60%,12.10%,61,74.30%,13.00%
"Friendswood, TX",Feb-17,All Residential,Place/City,FALSE,TX,0.971353137,-0.10%,0.20%,55,71.90%,5.80%,142,-16.50%,5.20%,36,3,-8,$292K,31.60%,14.30%,63,-16.00%,-14.90%
"Texas City, TX",Feb-17,All Residential,Place/City,FALSE,TX,0.947131218,-3.10%,-0.20%,30,3.40%,-28.60%,140,5.30%,59.10%,20,-9,-19,$116K,-16.50%,-3.20%,44,-27.90%,15.80%
"Pasadena, TX",Jul-17,All Residential,Place/City,FALSE,TX,0.983339066,1.40%,0.10%,102,0.00%,8.50%,178,9.90%,3.50%,16,2,2,$162K,7.10%,0.00%,107,-21.30%,-14.40%
"Texas City, TX",Oct-17,All Residential,Place/City,FALSE,TX,0.981835182,1.40%,-2.50%,50,8.70%,-3.80%,198,6.50%,72.20%,30,-13,8,$125K,-25.70%,-1.20%,75,27.10%,25.00%
"Friendswood, TX",Jan-18,All Residential,Place/City,FALSE,TX,0.959473542,-1.50%,-1.30%,46,-22.00%,43.80%,163,0.60%,-4.10%,18,-20,-15,$227K,-11.50%,2.30%,90,83.70%,20.00%
"Friendswood, TX",Jun-18,All Residential,Place/City,FALSE,TX,0.977130799,0.30%,-0.80%,119,17.80%,38.40%,244,24.50%,5.20%,14,0,2,$280K,13.30%,10.90%,140,-2.10%,16.70%
"League City, TX",Nov-18,All Residential,Place/City,FALSE,TX,0.977674228,-0.30%,-0.40%,169,-1.70%,3.00%,488,1.70%,33.00%,45,3,-9,$260K,-3.90%,0.00%,169,1.20%,19.90%
"Houston, TX",Nov-18,All Residential,Place/City,FALSE,TX,0.969670425,0.10%,0.40%,2439,-4.40%,1.20%,9997,-3.10%,10.00%,44,4,-3,$218K,1.60%,4.60%,2762,-17.40%,-3.60%
"League City, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.974962789,-0.40%,-1.10%,183,32.60%,7.00%,447,-2.00%,38.80%,44,-2,13,$270K,-3.50%,-1.90%,217,14.20%,5.30%
"Galveston, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.967930032,2.90%,2.10%,107,20.20%,-7.80%,617,8.60%,4.00%,68,-15,-15,$270K,28.00%,17.60%,231,24.20%,3.60%
"Missouri City, TX",Apr-19,All Residential,Place/City,FALSE,TX,0.966058062,-0.50%,-0.40%,162,15.70%,22.70%,582,2.10%,15.70%,46,-16,12,$262K,2.60%,-0.60%,255,13.30%,9.00%
"Galveston, TX",Apr-19,All Residential,Place/City,FALSE,TX,0.958957584,-0.90%,-0.10%,142,32.70%,-1.40%,630,2.10%,2.80%,44,-24,3,$250K,-7.40%,4.40%,201,-13.00%,-2.00%
"Missouri City, TX",Jul-19,All Residential,Place/City,FALSE,TX,0.974386531,-0.40%,-0.60%,204,37.80%,29.90%,637,-4.90%,6.30%,33,-9,-3,$255K,-0.40%,-1.50%,222,-5.90%,0.00%
"Texas City, TX",Sep-19,All Residential,Place/City,FALSE,TX,0.969083842,0.00%,0.60%,63,-4.50%,-3.10%,251,3.30%,6.40%,30,-19,-8,$185K,3.40%,33.10%,88,-10.20%,15.80%
"Galveston, TX",Sep-19,All Residential,Place/City,FALSE,TX,0.956155362,0.10%,0.00%,116,-9.40%,0.90%,588,-3.40%,0.30%,55,-5,8,$235K,-2.10%,8.00%,127,-27.40%,14.40%
"Pasadena, TX",Jan-14,All Residential,Place/City,FALSE,TX,0.955143201,-0.50%,1.00%,60,-29.40%,-13.00%,258,-3.40%,-18.10%,73,4,-14,$114K,-8.70%,11.20%,92,67.30%,-14.00%
